doc_id,tokenizer,label,doc_tokens,n_evidence_sents,first_evidence_tok,last_evidence_tok
56,ConfliBERT-2021,ANY_ACTION,333,3,161,280
234,ConfliBERT-2021,FAIL,669,9,1,582
234,ConfliBERT-2021,ANY_ACTION,669,5,337,553
237,ConfliBERT-2021,ANY_ACTION,125,2,43,86
240,ConfliBERT-2021,ARREST,598,2,101,297
240,ConfliBERT-2021,ANY_ACTION,598,7,11,467
251,ConfliBERT-2021,FAIL,457,2,56,75
261,ConfliBERT-2021,KILL,703,1,342,342
261,ConfliBERT-2021,ARREST,703,1,342,342
261,ConfliBERT-2021,FAIL,703,1,382,382
261,ConfliBERT-2021,FORCE,703,1,342,342
261,ConfliBERT-2021,ANY_ACTION,703,2,289,342
271,ConfliBERT-2021,FAIL,294,2,1,71
276,ConfliBERT-2021,FAIL,546,2,195,325
276,ConfliBERT-2021,ANY_ACTION,546,5,53,516
282,ConfliBERT-2021,ANY_ACTION,204,1,23,23
286,ConfliBERT-2021,ANY_ACTION,460,1,390,390
297,ConfliBERT-2021,ARREST,633,1,592,592
297,ConfliBERT-2021,ANY_ACTION,633,1,592,592
307,ConfliBERT-2021,ANY_ACTION,892,9,310,709
319,ConfliBERT-2021,FAIL,271,1,141,141
319,ConfliBERT-2021,ANY_ACTION,271,2,88,229
338,ConfliBERT-2021,ANY_ACTION,246,3,1,166
355,ConfliBERT-2021,KILL,653,1,64,64
355,ConfliBERT-2021,ARREST,653,1,30,30
355,ConfliBERT-2021,FAIL,653,1,314,314
355,ConfliBERT-2021,FORCE,653,2,30,64
355,ConfliBERT-2021,ANY_ACTION,653,5,1,485
365,ConfliBERT-2021,ANY_ACTION,724,3,11,395
382,ConfliBERT-2021,ANY_ACTION,565,1,199,199
390,ConfliBERT-2021,ARREST,651,5,10,572
390,ConfliBERT-2021,FAIL,651,1,281,281
390,ConfliBERT-2021,ANY_ACTION,651,11,10,572
407,ConfliBERT-2021,ARREST,381,7,3,297
407,ConfliBERT-2021,FORCE,381,1,297,297
407,ConfliBERT-2021,ANY_ACTION,381,10,3,329
430,ConfliBERT-2021,ARREST,1556,2,374,1082
430,ConfliBERT-2021,FORCE,1556,3,1155,1453
430,ConfliBERT-2021,ANY_ACTION,1556,20,31,1453
444,ConfliBERT-2021,KILL,259,1,71,71
444,ConfliBERT-2021,ARREST,259,1,232,232
444,ConfliBERT-2021,FAIL,259,1,105,105
444,ConfliBERT-2021,FORCE,259,2,71,200
444,ConfliBERT-2021,ANY_ACTION,259,3,71,232
458,ConfliBERT-2021,FAIL,314,1,111,111
463,ConfliBERT-2021,ANY_ACTION,185,5,1,151
464,ConfliBERT-2021,KILL,565,2,1,342
464,ConfliBERT-2021,ARREST,565,1,499,499
464,ConfliBERT-2021,FORCE,565,6,1,437
464,ConfliBERT-2021,ANY_ACTION,565,14,1,499
466,ConfliBERT-2021,ANY_ACTION,893,1,625,625
476,ConfliBERT-2021,ANY_ACTION,195,4,1,179
480,ConfliBERT-2021,FAIL,321,1,144,144
505,ConfliBERT-2021,ANY_ACTION,371,4,33,193
528,ConfliBERT-2021,ANY_ACTION,554,1,131,131
558,ConfliBERT-2021,ANY_ACTION,621,1,275,275
571,ConfliBERT-2021,ANY_ACTION,888,1,713,713
575,ConfliBERT-2021,ANY_ACTION,202,3,55,124
54,ConfliBERT-2021,ANY_ACTION,136,1,105,105
579,ConfliBERT-2021,ANY_ACTION,322,1,279,279
606,ConfliBERT-2021,ARREST,139,2,1,49
606,ConfliBERT-2021,ANY_ACTION,139,3,1,74
609,ConfliBERT-2021,KILL,309,2,1,96
609,ConfliBERT-2021,ARREST,309,1,238,238
609,ConfliBERT-2021,FORCE,309,4,1,209
609,ConfliBERT-2021,ANY_ACTION,309,6,1,238
631,ConfliBERT-2021,ANY_ACTION,438,1,336,336
639,ConfliBERT-2021,FAIL,309,2,97,175
639,ConfliBERT-2021,ANY_ACTION,309,10,1,297
654,ConfliBERT-2021,FAIL,285,1,53,53
657,ConfliBERT-2021,KILL,204,1,156,156
657,ConfliBERT-2021,FORCE,204,1,156,156
657,ConfliBERT-2021,ANY_ACTION,204,1,156,156
661,ConfliBERT-2021,FAIL,612,1,292,292
661,ConfliBERT-2021,ANY_ACTION,612,2,259,393
668,ConfliBERT-2021,FAIL,970,2,44,287
668,ConfliBERT-2021,ANY_ACTION,970,1,287,287
670,ConfliBERT-2021,FAIL,1002,1,117,117
682,ConfliBERT-2021,FAIL,241,2,45,118
686,ConfliBERT-2021,ANY_ACTION,362,4,76,279
1,ConfliBERT-2021,ANY_ACTION,515,1,173,173
6,ConfliBERT-2021,ANY_ACTION,609,1,294,294
88,ConfliBERT-2021,ANY_ACTION,469,1,316,316
99,ConfliBERT-2021,ARREST,297,1,65,65
99,ConfliBERT-2021,ANY_ACTION,297,3,65,202
102,ConfliBERT-2021,FAIL,540,4,207,336
111,ConfliBERT-2021,ANY_ACTION,790,1,515,515
65,ConfliBERT-2021,ANY_ACTION,810,5,162,480
87,ConfliBERT-2021,KILL,683,2,356,442
87,ConfliBERT-2021,ARREST,683,2,505,519
87,ConfliBERT-2021,FORCE,683,2,356,442
87,ConfliBERT-2021,ANY_ACTION,683,10,1,530
101,ConfliBERT-2021,ARREST,565,6,3,434
101,ConfliBERT-2021,ANY_ACTION,565,13,3,530
109,ConfliBERT-2021,KILL,889,5,421,622
109,ConfliBERT-2021,ARREST,889,7,248,782
109,ConfliBERT-2021,FORCE,889,8,59,622
109,ConfliBERT-2021,ANY_ACTION,889,23,59,827
116,ConfliBERT-2021,ANY_ACTION,176,2,1,43
143,ConfliBERT-2021,ARREST,389,4,94,302
143,ConfliBERT-2021,FORCE,389,1,226,226
143,ConfliBERT-2021,ANY_ACTION,389,6,94,302
152,ConfliBERT-2021,ANY_ACTION,410,2,280,329
10,ConfliBERT-2021,ARREST,379,2,270,346
10,ConfliBERT-2021,FORCE,379,5,1,322
10,ConfliBERT-2021,ANY_ACTION,379,13,1,346
23,ConfliBERT-2021,ANY_ACTION,706,1,628,628
31,ConfliBERT-2021,ANY_ACTION,406,5,103,328
174,ConfliBERT-2021,KILL,485,2,378,407
174,ConfliBERT-2021,FORCE,485,2,378,407
174,ConfliBERT-2021,ANY_ACTION,485,2,378,407
181,ConfliBERT-2021,ANY_ACTION,582,1,352,352
9,ConfliBERT-2021,ANY_ACTION,280,2,122,158
224,ConfliBERT-2021,ANY_ACTION,167,5,1,107
226,ConfliBERT-2021,ANY_ACTION,465,1,49,49
229,ConfliBERT-2021,FAIL,447,1,319,319
229,ConfliBERT-2021,ANY_ACTION,447,1,85,85
233,ConfliBERT-2021,ANY_ACTION,674,3,82,538
145,ConfliBERT-2021,ANY_ACTION,356,2,1,58
151,ConfliBERT-2021,ANY_ACTION,504,3,118,264
160,ConfliBERT-2021,ANY_ACTION,451,5,23,298
162,ConfliBERT-2021,ANY_ACTION,242,3,55,146
201,ConfliBERT-2021,KILL,534,1,455,455
201,ConfliBERT-2021,FAIL,534,1,309,309
201,ConfliBERT-2021,FORCE,534,1,455,455
201,ConfliBERT-2021,ANY_ACTION,534,8,9,455
204,ConfliBERT-2021,ANY_ACTION,643,1,71,71
207,ConfliBERT-2021,ARREST,509,5,9,387
207,ConfliBERT-2021,ANY_ACTION,509,11,9,466
19,ConfliBERT-2021,FORCE,256,2,3,202
19,ConfliBERT-2021,ANY_ACTION,256,5,3,202
25,ConfliBERT-2021,FAIL,377,1,207,207
25,ConfliBERT-2021,ANY_ACTION,377,2,267,326
40,ConfliBERT-2021,KILL,663,2,174,257
40,ConfliBERT-2021,FORCE,663,4,107,283
40,ConfliBERT-2021,ANY_ACTION,663,9,3,427
45,ConfliBERT-2021,FAIL,354,1,190,190
83,ConfliBERT-2021,ANY_ACTION,178,1,132,132
94,ConfliBERT-2021,FAIL,626,1,481,481
94,ConfliBERT-2021,ANY_ACTION,626,2,77,481
21,ConfliBERT-2021,FAIL,414,1,1,1
43,ConfliBERT-2021,FAIL,261,1,177,177
43,ConfliBERT-2021,ANY_ACTION,261,3,1,79
265,ConfliBERT-2021,ANY_ACTION,264,1,208,208
284,ConfliBERT-2021,ANY_ACTION,239,1,179,179
290,ConfliBERT-2021,ANY_ACTION,137,1,87,87
112,ConfliBERT-2021,FAIL,364,1,131,131
121,ConfliBERT-2021,FAIL,295,1,80,80
121,ConfliBERT-2021,ANY_ACTION,295,2,80,214
129,ConfliBERT-2021,ANY_ACTION,552,12,53,525
210,ConfliBERT-2021,FAIL,635,1,536,536
246,ConfliBERT-2021,ANY_ACTION,619,8,41,416
30,ConfliBERT-2021,FORCE,155,1,1,1
30,ConfliBERT-2021,ANY_ACTION,155,3,1,91
36,ConfliBERT-2021,ANY_ACTION,181,2,122,155
58,ConfliBERT-2021,ARREST,570,2,187,275
58,ConfliBERT-2021,ANY_ACTION,570,15,1,534
61,ConfliBERT-2021,ARREST,421,1,90,90
61,ConfliBERT-2021,ANY_ACTION,421,3,90,317
73,ConfliBERT-2021,FAIL,257,2,119,185
73,ConfliBERT-2021,ANY_ACTION,257,4,1,185
74,ConfliBERT-2021,ANY_ACTION,196,1,10,10
79,ConfliBERT-2021,ANY_ACTION,299,4,9,213
96,ConfliBERT-2021,ARREST,484,2,141,386
96,ConfliBERT-2021,ANY_ACTION,484,9,86,458
278,ConfliBERT-2021,FAIL,292,1,203,203
285,ConfliBERT-2021,ANY_ACTION,276,3,32,104
292,ConfliBERT-2021,ANY_ACTION,207,1,126,126
300,ConfliBERT-2021,ARREST,719,1,185,185
300,ConfliBERT-2021,FAIL,719,2,393,492
300,ConfliBERT-2021,ANY_ACTION,719,9,185,565
308,ConfliBERT-2021,KILL,611,2,475,584
308,ConfliBERT-2021,FORCE,611,5,58,584
308,ConfliBERT-2021,ANY_ACTION,611,6,1,584
313,ConfliBERT-2021,ANY_ACTION,297,1,226,226
339,ConfliBERT-2021,ARREST,593,1,259,259
339,ConfliBERT-2021,ANY_ACTION,593,8,138,575
72,ConfliBERT-2021,FAIL,334,1,1,1
95,ConfliBERT-2021,ANY_ACTION,591,2,543,557
134,ConfliBERT-2021,ANY_ACTION,121,1,1,1
135,ConfliBERT-2021,ANY_ACTION,238,2,126,138
139,ConfliBERT-2021,ANY_ACTION,453,1,423,423
141,ConfliBERT-2021,ARREST,523,1,142,142
141,ConfliBERT-2021,ANY_ACTION,523,4,142,460
142,ConfliBERT-2021,ANY_ACTION,300,4,1,96
167,ConfliBERT-2021,FAIL,581,3,309,383
167,ConfliBERT-2021,FORCE,581,1,321,321
167,ConfliBERT-2021,ANY_ACTION,581,8,9,534
198,ConfliBERT-2021,FAIL,498,1,1,1
241,ConfliBERT-2021,ARREST,232,1,199,199
241,ConfliBERT-2021,ANY_ACTION,232,3,117,199
98,ConfliBERT-2021,ANY_ACTION,772,12,11,746
103,ConfliBERT-2021,ANY_ACTION,175,1,51,51
272,ConfliBERT-2021,ARREST,664,4,268,520
272,ConfliBERT-2021,FAIL,664,1,42,42
272,ConfliBERT-2021,ANY_ACTION,664,17,1,590
115,ConfliBERT-2021,ANY_ACTION,163,1,139,139
273,ConfliBERT-2021,FAIL,1031,8,9,711
273,ConfliBERT-2021,FORCE,1031,4,9,961
273,ConfliBERT-2021,ANY_ACTION,1031,9,9,961
122,ConfliBERT-2021,ANY_ACTION,651,10,1,467
299,ConfliBERT-2021,ARREST,450,2,167,375
299,ConfliBERT-2021,ANY_ACTION,450,5,30,375
323,ConfliBERT-2021,ANY_ACTION,799,4,437,554
348,ConfliBERT-2021,ARREST,549,1,336,336
348,ConfliBERT-2021,ANY_ACTION,549,9,67,504
352,ConfliBERT-2021,ANY_ACTION,355,3,1,313
357,ConfliBERT-2021,KILL,396,1,180,180
357,ConfliBERT-2021,FORCE,396,2,42,180
357,ConfliBERT-2021,ANY_ACTION,396,3,42,180
366,ConfliBERT-2021,ANY_ACTION,365,10,96,340
369,ConfliBERT-2021,ANY_ACTION,219,3,1,55
374,ConfliBERT-2021,KILL,903,1,847,847
374,ConfliBERT-2021,FORCE,903,1,847,847
374,ConfliBERT-2021,ANY_ACTION,903,1,847,847
376,ConfliBERT-2021,ARREST,528,7,11,400
376,ConfliBERT-2021,ANY_ACTION,528,13,11,488
419,ConfliBERT-2021,ARREST,694,1,70,70
419,ConfliBERT-2021,ANY_ACTION,694,7,9,627
423,ConfliBERT-2021,ARREST,405,3,9,310
423,ConfliBERT-2021,ANY_ACTION,405,7,9,382
427,ConfliBERT-2021,ANY_ACTION,177,2,115,134
429,ConfliBERT-2021,FAIL,762,1,674,674
448,ConfliBERT-2021,ARREST,226,3,4,91
448,ConfliBERT-2021,ANY_ACTION,226,3,4,91
451,ConfliBERT-2021,ANY_ACTION,403,3,148,384
455,ConfliBERT-2021,ANY_ACTION,420,6,178,396
470,ConfliBERT-2021,ANY_ACTION,702,1,290,290
473,ConfliBERT-2021,ARREST,221,3,1,91
473,ConfliBERT-2021,ANY_ACTION,221,4,1,159
490,ConfliBERT-2021,ARREST,136,2,1,41
490,ConfliBERT-2021,ANY_ACTION,136,3,1,69
503,ConfliBERT-2021,ANY_ACTION,529,7,51,502
515,ConfliBERT-2021,FAIL,773,1,545,545
515,ConfliBERT-2021,ANY_ACTION,773,15,16,705
69,ConfliBERT-2021,ANY_ACTION,445,1,345,345
130,ConfliBERT-2021,FAIL,562,7,1,490
130,ConfliBERT-2021,ANY_ACTION,562,2,1,267
124,ConfliBERT-2021,ANY_ACTION,430,3,93,288
164,ConfliBERT-2021,ANY_ACTION,254,3,1,74
187,ConfliBERT-2021,ANY_ACTION,560,1,33,33
196,ConfliBERT-2021,ANY_ACTION,357,3,249,313
147,ConfliBERT-2021,ANY_ACTION,322,4,44,232
166,ConfliBERT-2021,KILL,422,1,310,310
166,ConfliBERT-2021,FORCE,422,4,117,336
166,ConfliBERT-2021,ANY_ACTION,422,6,63,377
349,ConfliBERT-2021,KILL,530,1,508,508
349,ConfliBERT-2021,FORCE,530,1,508,508
349,ConfliBERT-2021,ANY_ACTION,530,1,508,508
359,ConfliBERT-2021,ANY_ACTION,214,6,1,161
391,ConfliBERT-2021,ANY_ACTION,92,1,50,50
396,ConfliBERT-2021,FAIL,952,1,702,702
396,ConfliBERT-2021,ANY_ACTION,952,3,480,702
408,ConfliBERT-2021,ANY_ACTION,519,2,112,336
232,ConfliBERT-2021,ANY_ACTION,591,5,130,556
411,ConfliBERT-2021,ANY_ACTION,677,9,125,672
437,ConfliBERT-2021,ARREST,370,1,345,345
437,ConfliBERT-2021,FAIL,370,1,156,156
437,ConfliBERT-2021,ANY_ACTION,370,1,345,345
440,ConfliBERT-2021,ARREST,195,4,1,121
440,ConfliBERT-2021,ANY_ACTION,195,4,1,121
442,ConfliBERT-2021,FAIL,618,1,417,417
443,ConfliBERT-2021,FORCE,906,1,500,500
443,ConfliBERT-2021,ANY_ACTION,906,1,500,500
460,ConfliBERT-2021,FAIL,371,1,212,212
465,ConfliBERT-2021,FAIL,715,1,605,605
465,ConfliBERT-2021,ANY_ACTION,715,1,53,53
467,ConfliBERT-2021,ANY_ACTION,155,1,48,48
468,ConfliBERT-2021,ARREST,540,1,78,78
468,ConfliBERT-2021,ANY_ACTION,540,2,78,198
472,ConfliBERT-2021,ANY_ACTION,428,11,1,381
495,ConfliBERT-2021,ANY_ACTION,210,4,53,186
507,ConfliBERT-2021,FAIL,182,1,43,43
509,ConfliBERT-2021,ANY_ACTION,263,1,60,60
545,ConfliBERT-2021,FAIL,400,2,187,370
545,ConfliBERT-2021,ANY_ACTION,400,1,168,168
245,ConfliBERT-2021,ARREST,325,1,127,127
245,ConfliBERT-2021,ANY_ACTION,325,14,9,305
256,ConfliBERT-2021,KILL,529,1,413,413
256,ConfliBERT-2021,ARREST,529,2,314,508
256,ConfliBERT-2021,FAIL,529,1,353,353
256,ConfliBERT-2021,FORCE,529,3,66,413
256,ConfliBERT-2021,ANY_ACTION,529,9,66,508
563,ConfliBERT-2021,ARREST,412,1,265,265
563,ConfliBERT-2021,ANY_ACTION,412,7,51,331
268,ConfliBERT-2021,FAIL,539,1,100,100
568,ConfliBERT-2021,ARREST,422,2,206,232
568,ConfliBERT-2021,ANY_ACTION,422,3,206,390
583,ConfliBERT-2021,FAIL,611,1,293,293
596,ConfliBERT-2021,ANY_ACTION,235,2,1,69
598,ConfliBERT-2021,FAIL,653,2,553,615
598,ConfliBERT-2021,ANY_ACTION,653,3,43,338
615,ConfliBERT-2021,FAIL,452,4,80,424
615,ConfliBERT-2021,ANY_ACTION,452,5,39,424
295,ConfliBERT-2021,FAIL,495,1,245,245
624,ConfliBERT-2021,ARREST,145,1,1,1
624,ConfliBERT-2021,ANY_ACTION,145,2,1,37
309,ConfliBERT-2021,ANY_ACTION,87,1,33,33
529,ConfliBERT-2021,KILL,635,1,241,241
529,ConfliBERT-2021,FORCE,635,2,241,254
529,ConfliBERT-2021,ANY_ACTION,635,5,140,414
651,ConfliBERT-2021,KILL,367,1,44,44
651,ConfliBERT-2021,ARREST,367,1,44,44
651,ConfliBERT-2021,FORCE,367,1,44,44
651,ConfliBERT-2021,ANY_ACTION,367,3,44,260
532,ConfliBERT-2021,ANY_ACTION,348,3,182,317
536,ConfliBERT-2021,ARREST,830,1,254,254
536,ConfliBERT-2021,FAIL,830,1,54,54
536,ConfliBERT-2021,FORCE,830,1,212,212
536,ConfliBERT-2021,ANY_ACTION,830,4,212,716
315,ConfliBERT-2021,ANY_ACTION,307,1,51,51
585,ConfliBERT-2021,ARREST,123,2,1,115
585,ConfliBERT-2021,ANY_ACTION,123,2,1,115
586,ConfliBERT-2021,ANY_ACTION,462,2,110,198
613,ConfliBERT-2021,KILL,665,1,156,156
613,ConfliBERT-2021,FAIL,665,1,54,54
613,ConfliBERT-2021,FORCE,665,3,1,156
613,ConfliBERT-2021,ANY_ACTION,665,5,1,539
332,ConfliBERT-2021,ANY_ACTION,482,4,276,370
626,ConfliBERT-2021,ANY_ACTION,265,2,163,235
627,ConfliBERT-2021,ANY_ACTION,549,1,419,419
634,ConfliBERT-2021,FORCE,725,1,581,581
634,ConfliBERT-2021,ANY_ACTION,725,2,544,581
638,ConfliBERT-2021,ANY_ACTION,1207,2,351,443
677,ConfliBERT-2021,ARREST,820,1,290,290
677,ConfliBERT-2021,ANY_ACTION,820,6,146,670
688,ConfliBERT-2021,ANY_ACTION,202,1,162,162
691,ConfliBERT-2021,ANY_ACTION,175,2,51,108
678,ConfliBERT-2021,ANY_ACTION,271,1,48,48
690,ConfliBERT-2021,FAIL,518,2,1,225
690,ConfliBERT-2021,ANY_ACTION,518,14,48,459
698,ConfliBERT-2021,ANY_ACTION,255,1,205,205
168,ConfliBERT-2021,ANY_ACTION,416,4,1,133
195,ConfliBERT-2021,ANY_ACTION,454,1,187,187
209,ConfliBERT-2021,ARREST,183,3,15,91
209,ConfliBERT-2021,ANY_ACTION,183,3,15,91
267,ConfliBERT-2021,ANY_ACTION,288,1,36,36
239,ConfliBERT-2021,ANY_ACTION,431,6,3,251
289,ConfliBERT-2021,ANY_ACTION,376,4,234,342
303,ConfliBERT-2021,FAIL,243,1,111,111
259,ConfliBERT-2021,ANY_ACTION,776,11,58,647
263,ConfliBERT-2021,ANY_ACTION,266,4,76,197
337,ConfliBERT-2021,ANY_ACTION,737,1,508,508
334,ConfliBERT-2021,ANY_ACTION,803,1,667,667
344,ConfliBERT-2021,ANY_ACTION,169,1,92,92
354,ConfliBERT-2021,ANY_ACTION,134,1,52,52
361,ConfliBERT-2021,ANY_ACTION,240,3,1,133
367,ConfliBERT-2021,ANY_ACTION,437,15,9,330
379,ConfliBERT-2021,FAIL,265,3,89,225
379,ConfliBERT-2021,ANY_ACTION,265,1,225,225
414,ConfliBERT-2021,ANY_ACTION,844,4,307,810
416,ConfliBERT-2021,FAIL,515,2,421,459
416,ConfliBERT-2021,ANY_ACTION,515,8,9,496
406,ConfliBERT-2021,FORCE,243,1,163,163
406,ConfliBERT-2021,ANY_ACTION,243,1,163,163
428,ConfliBERT-2021,ANY_ACTION,138,3,1,109
456,ConfliBERT-2021,FAIL,442,1,353,353
481,ConfliBERT-2021,ANY_ACTION,921,1,139,139
453,ConfliBERT-2021,FORCE,718,1,136,136
453,ConfliBERT-2021,ANY_ACTION,718,5,136,574
459,ConfliBERT-2021,KILL,512,1,140,140
459,ConfliBERT-2021,ARREST,512,3,222,395
459,ConfliBERT-2021,FORCE,512,3,140,332
459,ConfliBERT-2021,ANY_ACTION,512,12,140,496
462,ConfliBERT-2021,KILL,616,1,584,584
462,ConfliBERT-2021,FORCE,616,1,584,584
462,ConfliBERT-2021,ANY_ACTION,616,1,584,584
516,ConfliBERT-2021,ANY_ACTION,461,1,209,209
520,ConfliBERT-2021,FAIL,542,1,327,327
525,ConfliBERT-2021,ARREST,478,1,454,454
525,ConfliBERT-2021,FORCE,478,2,87,395
525,ConfliBERT-2021,ANY_ACTION,478,5,87,454
557,ConfliBERT-2021,FAIL,505,5,1,443
557,ConfliBERT-2021,ANY_ACTION,505,6,41,364
566,ConfliBERT-2021,FAIL,293,2,80,99
635,ConfliBERT-2021,KILL,479,2,221,261
635,ConfliBERT-2021,FORCE,479,2,221,261
635,ConfliBERT-2021,ANY_ACTION,479,4,118,261
637,ConfliBERT-2021,ANY_ACTION,678,8,27,391
662,ConfliBERT-2021,ANY_ACTION,298,8,9,262
673,ConfliBERT-2021,FAIL,598,2,189,208
673,ConfliBERT-2021,ANY_ACTION,598,3,162,208
393,ConfliBERT-2021,FAIL,522,1,417,417
393,ConfliBERT-2021,ANY_ACTION,522,3,263,466
329,ConfliBERT-2021,ANY_ACTION,325,1,176,176
506,ConfliBERT-2021,FAIL,696,1,133,133
512,ConfliBERT-2021,FAIL,586,1,77,77
512,ConfliBERT-2021,ANY_ACTION,586,5,3,423
333,ConfliBERT-2021,KILL,263,1,231,231
333,ConfliBERT-2021,FORCE,263,1,231,231
333,ConfliBERT-2021,ANY_ACTION,263,1,231,231
347,ConfliBERT-2021,ANY_ACTION,1006,1,898,898
446,ConfliBERT-2021,FAIL,542,3,9,204
446,ConfliBERT-2021,ANY_ACTION,542,2,9,61
474,ConfliBERT-2021,FAIL,378,1,164,164
498,ConfliBERT-2021,ARREST,667,4,148,520
498,ConfliBERT-2021,ANY_ACTION,667,15,109,520
478,ConfliBERT-2021,ANY_ACTION,648,3,292,581
500,ConfliBERT-2021,ANY_ACTION,271,6,1,225
522,ConfliBERT-2021,FAIL,542,1,33,33
522,ConfliBERT-2021,ANY_ACTION,542,17,76,517
542,ConfliBERT-2021,ARREST,372,7,11,305
542,ConfliBERT-2021,ANY_ACTION,372,11,11,337
559,ConfliBERT-2021,FAIL,933,1,435,435
589,ConfliBERT-2021,ANY_ACTION,359,4,55,235
523,ConfliBERT-2021,KILL,645,2,364,450
523,ConfliBERT-2021,ARREST,645,2,513,527
523,ConfliBERT-2021,FORCE,645,2,364,450
523,ConfliBERT-2021,ANY_ACTION,645,9,9,527
604,ConfliBERT-2021,ARREST,380,1,213,213
604,ConfliBERT-2021,ANY_ACTION,380,8,1,354
663,ConfliBERT-2021,ANY_ACTION,521,7,138,504
562,ConfliBERT-2021,FAIL,517,2,353,374
648,ConfliBERT-2021,ANY_ACTION,300,4,88,174
618,ConfliBERT-2021,ANY_ACTION,271,1,151,151
640,ConfliBERT-2021,ARREST,413,2,62,312
640,ConfliBERT-2021,ANY_ACTION,413,8,62,376
689,ConfliBERT-2021,KILL,520,2,195,209
689,ConfliBERT-2021,FORCE,520,2,195,209
689,ConfliBERT-2021,ANY_ACTION,520,4,195,360
704,ConfliBERT-2021,ANY_ACTION,278,4,55,128
705,ConfliBERT-2021,ARREST,414,6,1,259
705,ConfliBERT-2021,ANY_ACTION,414,8,1,259
724,ConfliBERT-2021,FORCE,401,2,94,223
724,ConfliBERT-2021,ANY_ACTION,401,2,94,223
740,ConfliBERT-2021,ANY_ACTION,82,1,4,4
741,ConfliBERT-2021,ANY_ACTION,219,1,174,174
709,ConfliBERT-2021,ANY_ACTION,109,3,9,90
719,ConfliBERT-2021,ARREST,554,1,322,322
719,ConfliBERT-2021,ANY_ACTION,554,1,322,322
758,ConfliBERT-2021,FAIL,495,1,9,9
